,pca_0,pca_1,surprisal,disc,u_id
157,128.27458655107262,-0.3465555105777548,0.541018,70,Michi Uster 455 m
158,-25.53785301851958,0.27494875693124204,0.5238149999999999,8,gary_england
159,-25.53785301851958,0.27494875693124204,0.5238149999999999,8,tnsilres
160,-27.98567531771731,0.3012383377950551,0.512162,7,Thomas - Sargans
161,-35.329173576003484,0.38371404993381325,0.457934,4,Ben (BaWü)
162,526.0687800178631,-1.55885396719112,0.45689700000000005,230,Severestorms
163,187.64700369879702,0.43422971969033614,0.431274,93,Marco (Oberfrick)
164,-37.77703204154919,0.41368182017373784,0.426622,3,dxbruelhart
165,-37.77703204154919,0.41368182017373784,0.426622,3,Seebueb
166,-37.77703204154919,0.41368182017373784,0.426622,3,Mathias Uster
167,10.779959247980715,0.834613956161086,0.41326999999999997,22,Goldigoldi
168,3.4365107993774644,0.9103538253936708,0.39500599999999997,19,DomE
169,-40.22492084348423,0.44673486142500796,0.37882,2,Webcam-Brienz
170,-40.22492084348423,0.44673486142500796,0.37882,2,Ricco  (Koblenz AG)
171,-40.22492084348423,0.44673486142500796,0.37882,2,Päsi (Wilen b. Wil)
172,-40.22492084348423,0.44673486142500796,0.37882,2,Roger Ennetbürgen NW
173,-26.961542538447304,0.7662270514030323,0.36927,7,Simon 8542
174,-11.250408987177499,1.0641614560312596,0.346036,13,Blizzard
175,-31.857222749445846,0.8224280855525892,0.326606,5,Mladen (Chur)
176,-18.59384700996744,1.1430162475664285,0.311217,10,Dani (Niederamt)
177,-34.30507651275921,0.8519176294307783,0.29785,4,RoliM
178,-34.30507651275921,0.8519176294307783,0.29785,4,kephivo
179,116.26152177728669,2.059176612583372,0.296799,63,Badnerland
180,-42.672885142779684,0.4874243816045633,0.290202,1,Hugo
181,-42.672885142779684,0.4874243816045633,0.290202,1,Kily
182,-42.672885142779684,0.4874243816045633,0.290202,1,CJG Termen (Wallis)
183,-42.672885142779684,0.4874243816045633,0.290202,1,tosci
184,-42.672885142779684,0.4874243816045633,0.290202,1,LHfoto
185,-42.672885142779684,0.4874243816045633,0.290202,1,Lightning Strike
